_id,state,hqName,hqAddress,emails,phone,website
"""6a214a71df9acc20ca51deef""","Tripura","Director General of Police, Tripura","Police Headquarters, Agartala – 799001, Tripura","[""dgptripura@yahoo.co.in"",""tripurapolice@yahoo.com""]","0381-2324079","www.tripurapolice.nic.in"
"""6a214a71df9acc20ca51dedc""","Gujarat","Director General of Police, Gujarat","Gujarat State Police Bhawan, Sector-18, Gandhinagar, Gujarat","[""dgp-gs@gujarat.gov.in"",""dgp-scr@gujarat.gov.in"",""edpcell-pb@gujarat.gov.in""]","079-23246333","www.police.gujarat.gov.in"
"""6a214a71df9acc20ca51dedf""","Jammu & Kashmir","Director General of Police, Jammu and Kashmir","Police Headquarters, Peer Bagh, Airport Road, Srinagar, J&K","[""jkpolice@nic.in""]","0194-2443011","www.jandkpolice.org"
"""6a214a71df9acc20ca51deec""","Sikkim","Director General of Police, Sikkim","Police Headquarters, Gangtok – 737101, Sikkim","[""sikphq@hotmail.com"",""sikphq@bsnl.in""]","03592-202747","www.sikkimpolice.nic.in"
"""6a214a71df9acc20ca51deed""","Tamil Nadu","Director General of Police, Tamil Nadu","No. 1, Kamaraja Salai, Mylapore, Chennai-600004, Tamil Nadu","[""phq@tn.nic.in"",""adr200910@yahoo.co.in""]","044-28447755","www.tnpolice.gov.in"
"""6a214a71df9acc20ca51def6""","Delhi","Commissioner of Police, Delhi","Delhi Police Headquarters, I.P. Estate, ITO, New Delhi-110002","[""delpol@vsnl.com""]","011-23490201","www.delhipolice.nic.in"
"""6a214a71df9acc20ca51def9""","Ladakh","Inspector General of Police, Ladakh","Police Headquarters, Leh, Ladakh","[""igp-ladakh@nic.in""]","",""
"""6a214a71df9acc20ca51dee6""","Meghalaya","Director General of Police, Meghalaya","Police Headquarters, Shillong, Meghalaya","[""meghpol@hotmail.com""]","0364-2224879","www.megpolice.gov.in"
"""6a214a71df9acc20ca51def5""","Dadra & Nagar Haveli and Daman & Diu","Deputy Inspector General of Police, Daman and Diu, Dadra and Nagar Haveli","Police Headquarters, Panchrasta, Near State Bank of India, Daman & Diu","[""policedept-dnh@nic.in"",""pcrdamandiu@yahoo.com""]","0260-2254400",""
"""6a214a71df9acc20ca51ded8""","Assam","Director General of Police, Assam","Uluvari, Guwahati-781007, Assam","[""dgp@assampolice.com"",""admin@assampolice.com""]","0361-2450555","www.assampolice.com"
"""6a214a71df9acc20ca51dede""","Himachal Pradesh","Director General of Police, Himachal Pradesh","Police Headquarters, Nigam Vihar, Shimla – 171002","[""dgp-hp@nic.in"",""Police_statecr_hp@nic.in""]","0177-2626222","www.hppolice.nic.in"
"""6a214a71df9acc20ca51deeb""","Rajasthan","Director General of Police, Rajasthan","Police Headquarters, Jaipur, Rajasthan-303002","[""dgp-rj@nic.in""]","0141-2606657","www.rajpolice.nic.in"
"""6a214a71df9acc20ca51def3""","Andaman & Nicobar Islands","Director General of Police, Andaman & Nicobar Islands","Police Headquarters, Port Blair-744104, Andaman & Nicobar Islands","[""dgp@and.nic.in"",""police@and.nic.in""]","03192-230216","police.and.nic.in"
"""6a214a71df9acc20ca51dee5""","Manipur","Director General of Police, Manipur","Police Headquarters, Imphal – 795001, Manipur","[""dgp-mnp@nic.in"",""Dgp.mnp@nic.in""]","0385-2450289","www.manipurpolice.org"
"""6a214a71df9acc20ca51def7""","Lakshadweep","Administrator & Ex-officio IG (P), Lakshadweep","UT of Lakshadweep, Kavaratti-682555","[""lk-admin@nic.in"",""lak_sop@nic.in""]","04896-262255","www.lakshadweep.nic.in"
"""6a214a71df9acc20ca51ded6""","Andhra Pradesh","Director General of Police, Andhra Pradesh","Police Headquarters, Hyderabad-500004, Andhra Pradesh","[""dgp@appolice.gov.in"",""ig@pcs.appolice.gov.in""]","040-23235170","www.apstatepolice.com"
"""6a214a71df9acc20ca51ded7""","Arunachal Pradesh","Director General of Police, Arunachal Pradesh","Police Headquarters, Itanagar-791113, Arunachal Pradesh","[""arpolice@rediffmail.com""]","0360-2218190","arunpol.nic.in"
"""6a214a71df9acc20ca51dee1""","Karnataka","Director General of Police, Karnataka","No. 2, Nrupathunga Road, Bangalore-1, Karnataka","[""dgpcrblore@ksp.gov.in""]","080-22211803","www.ksp.gov.in"
"""6a214a71df9acc20ca51dee7""","Mizoram","Director General of Police, Mizoram","Police Headquarters, Aizawl-796001, Mizoram","[""mizopol@rediffmail.com"",""scrbmizoram@yahoo.com""]","0389-2334682","www.police.mizoram.gov.in"
"""6a214a71df9acc20ca51dee8""","Nagaland","Director General of Police, Nagaland","Police Headquarters, Kohima-797001, Nagaland","[""dgpnld@yahoo.co.in"",""Scrb-ngl@nic.in""]","0370-2242889","www.nagapol.gov.in"
"""6a214a71df9acc20ca51def8""","Puducherry","Director General of Police, Puducherry","Police Headquarters, No. 4, Dumas Street, Puducherry – 605001","[""dgp.pon@nic.in"",""igp.pon@nic.in""]","0413-2334006","www.police.pondicherry.gov.in"
"""6a214a71df9acc20ca51deee""","Telangana","Director General of Police, Telangana","Police Headquarters, Hyderabad, Telangana","[""dgp@tspolice.gov.in""]","040-23243804","www.tspolice.gov.in"
"""6a214a71df9acc20ca51def1""","Uttarakhand","Director General of Police, Uttarakhand","12 - Subhash Road, Dehradun-248001, Uttarakhand","[""dgc.Police-ua@nic.in""]","0135-2712082","www.uttaranchalpolice.com"
"""6a214a71df9acc20ca51dee9""","Odisha","Director General of Police, Odisha","Odisha State Police Headquarters, Bakshi Bazar, Cuttack-753001","[""dgofpoliceorissa@sify.com"",""sphqrs.orpol@nic.in""]","0671-2304451","www.orissapolice.nic.in"
"""6a214a71df9acc20ca51dee3""","Madhya Pradesh","Director General of Police, Madhya Pradesh","Police Headquarters, Jehangirbad, Bhopal – 462008, Madhya Pradesh","[""dgpmp@mppolice.gov.in""]","0755-2443500","www.mppolice.gov.in"
